osoba,popyt_h_PRZED,popyt_h_PO_8tyg,obciazenie_proc_PRZED,obciazenie_proc_PO_8tyg,szczytowy_tydzien_PO,szczytowe_obciazenie_proc_PO,przeciazone_tygodnie_PO
Ewa Nowicka,0,29.9,0,14,2026-09-07,68,-
Marek Nowak,0,30,0,12,2026-09-07,62,-
Anna Kowalska,0,68,0,44,2026-09-07,198,2026-09-07(198%) | 2026-09-14(130%)
Katarzyna Wójcik,0,78.1,0,41,2026-09-07,191,2026-09-07(191%) | 2026-09-14(120%)
Tomasz Lewandowski,0,12,0,4,2026-09-14,9,-
Jan Zieliński,0,66,0,43,2026-09-07,197,2026-09-07(197%) | 2026-09-14(129%)
Jan Kowalski,0,32,0,11,2026-09-14,48,-
Julia Lewandowska,0,14.1,0,6,2026-09-14,25,-
Paweł Mroczkowski,0,11,0,3,2026-09-14,13,-
Piotr Wiśniewski,0,13.9,0,5,2026-09-07,21,-
Tomasz Jankowski,0,29.9,0,14,2026-09-14,64,-
Admin DBR77,0,10.9,0,3,2026-09-14,13,-
Justyna Laskowska,0,10.9,0,3,2026-09-14,9,-
Krzysztof Zieliński,0,14.1,0,6,2026-09-07,24,-
